,horizontalDifference,trial
2,11.005462646484375,vp1_126_Session3_d03_b03_31
0,5.338409423828125,vp1_127_Session3_d03_b03_32
1,5.338409423828125,vp1_127_Session3_d03_b03_32
2,5.338409423828125,vp1_127_Session3_d03_b03_32
0,-11.286102294921875,vp1_129_Session3_d03_b03_34
1,-11.286102294921875,vp1_129_Session3_d03_b03_34
2,-11.286102294921875,vp1_129_Session3_d03_b03_34
0,-6.86138916015625,vp1_130_Session3_d03_b03_35
1,-6.86138916015625,vp1_130_Session3_d03_b03_35
2,-6.86138916015625,vp1_130_Session3_d03_b03_35
0,0.099273681640625,vp1_132_Session3_d03_b03_37
1,0.099273681640625,vp1_132_Session3_d03_b03_37
2,0.099273681640625,vp1_132_Session3_d03_b03_37
0,-2.838348388671875,vp1_133_Session3_d03_b03_38
1,-2.838348388671875,vp1_133_Session3_d03_b03_38
2,-2.838348388671875,vp1_133_Session3_d03_b03_38
0,15.96697998046875,vp1_134_Session3_d03_b03_39
1,15.96697998046875,vp1_134_Session3_d03_b03_39
2,15.96697998046875,vp1_134_Session3_d03_b03_39
0,18.59442138671875,vp1_135_Session3_d03_b03_40
1,18.59442138671875,vp1_135_Session3_d03_b03_40
2,18.59442138671875,vp1_135_Session3_d03_b03_40
0,-10.808624267578125,vp1_136_Session3_d03_b03_41
1,-10.808624267578125,vp1_136_Session3_d03_b03_41
2,-10.808624267578125,vp1_136_Session3_d03_b03_41
0,11.264892578125,vp1_137_Session3_d03_b03_42
1,11.264892578125,vp1_137_Session3_d03_b03_42
2,11.264892578125,vp1_137_Session3_d03_b03_42
0,12.912689208984375,vp1_138_Session3_d03_b03_43
1,12.912689208984375,vp1_138_Session3_d03_b03_43
2,12.912689208984375,vp1_138_Session3_d03_b03_43
0,7.094635009765625,vp1_139_Session3_d03_b03_44
1,7.094635009765625,vp1_139_Session3_d03_b03_44
2,7.094635009765625,vp1_139_Session3_d03_b03_44
0,-3.6229248046875,vp1_141_Session3_d03_b03_46
1,-3.6229248046875,vp1_141_Session3_d03_b03_46
2,-3.6229248046875,vp1_141_Session3_d03_b03_46
0,-7.85198974609375,vp1_142_Session3_d03_b03_47
1,-7.85198974609375,vp1_142_Session3_d03_b03_47
2,-7.85198974609375,vp1_142_Session3_d03_b03_47
0,-14.7679443359375,vp1_143_Session3_d03_b03_48
1,-14.7679443359375,vp1_143_Session3_d03_b03_48
2,-14.7679443359375,vp1_143_Session3_d03_b03_48
0,16.3358154296875,vp1_144_Session3_d03_b04_1
1,16.3358154296875,vp1_144_Session3_d03_b04_1
2,16.3358154296875,vp1_144_Session3_d03_b04_1
0,-1.882354736328125,vp1_147_Session3_d03_b04_4
1,-1.882354736328125,vp1_147_Session3_d03_b04_4
2,-1.882354736328125,vp1_147_Session3_d03_b04_4
0,14.63641357421875,vp1_148_Session3_d03_b04_5
1,14.63641357421875,vp1_148_Session3_d03_b04_5
2,14.63641357421875,vp1_148_Session3_d03_b04_5
0,16.032196044921875,vp1_150_Session3_d03_b04_7
1,16.032196044921875,vp1_150_Session3_d03_b04_7
2,16.032196044921875,vp1_150_Session3_d03_b04_7
0,-15.80718994140625,vp1_152_Session3_d03_b04_9
1,-15.80718994140625,vp1_152_Session3_d03_b04_9
2,-15.80718994140625,vp1_152_Session3_d03_b04_9
0,11.10260009765625,vp1_153_Session3_d03_b04_10
1,11.10260009765625,vp1_153_Session3_d03_b04_10
2,11.10260009765625,vp1_153_Session3_d03_b04_10
0,-5.027435302734375,vp1_154_Session3_d03_b04_11
1,-5.027435302734375,vp1_154_Session3_d03_b04_11
2,-5.027435302734375,vp1_154_Session3_d03_b04_11
0,-16.97784423828125,vp1_155_Session3_d03_b04_12
1,-16.97784423828125,vp1_155_Session3_d03_b04_12
2,-16.97784423828125,vp1_155_Session3_d03_b04_12
0,15.78228759765625,vp1_157_Session3_d03_b04_14
1,15.78228759765625,vp1_157_Session3_d03_b04_14
2,15.78228759765625,vp1_157_Session3_d03_b04_14
0,-25.51983642578125,vp1_158_Session3_d03_b04_15
1,-25.51983642578125,vp1_158_Session3_d03_b04_15
2,-25.51983642578125,vp1_158_Session3_d03_b04_15
0,-4.566864013671875,vp1_159_Session3_d03_b04_16
1,-4.566864013671875,vp1_159_Session3_d03_b04_16
2,-4.566864013671875,vp1_159_Session3_d03_b04_16
0,-2.43109130859375,vp1_160_Session3_d03_b04_17
1,-2.43109130859375,vp1_160_Session3_d03_b04_17
2,-2.43109130859375,vp1_160_Session3_d03_b04_17
0,8.35736083984375,vp1_161_Session3_d03_b04_18
1,8.35736083984375,vp1_161_Session3_d03_b04_18
2,8.35736083984375,vp1_161_Session3_d03_b04_18
0,-2.66192626953125,vp1_162_Session3_d03_b04_19
1,-2.66192626953125,vp1_162_Session3_d03_b04_19
2,-2.66192626953125,vp1_162_Session3_d03_b04_19
0,21.556488037109375,vp1_163_Session3_d03_b04_20
1,21.556488037109375,vp1_163_Session3_d03_b04_20
2,21.556488037109375,vp1_163_Session3_d03_b04_20
0,-14.06353759765625,vp1_164_Session3_d03_b04_21
1,-14.06353759765625,vp1_164_Session3_d03_b04_21
2,-14.06353759765625,vp1_164_Session3_d03_b04_21
0,-5.000640869140625,vp1_165_Session3_d03_b04_22
1,-5.000640869140625,vp1_165_Session3_d03_b04_22
2,-5.000640869140625,vp1_165_Session3_d03_b04_22
0,14.0845947265625,vp1_166_Session3_d03_b04_23
1,14.0845947265625,vp1_166_Session3_d03_b04_23
2,14.0845947265625,vp1_166_Session3_d03_b04_23
0,-14.723358154296875,vp1_167_Session3_d03_b04_24
1,-14.723358154296875,vp1_167_Session3_d03_b04_24
2,-14.723358154296875,vp1_167_Session3_d03_b04_24
0,23.295989990234375,vp1_168_Session3_d03_b04_25
1,23.295989990234375,vp1_168_Session3_d03_b04_25
2,23.295989990234375,vp1_168_Session3_d03_b04_25
0,-18.204315185546875,vp1_169_Session3_d03_b04_26
1,-18.204315185546875,vp1_169_Session3_d03_b04_26
2,-18.204315185546875,vp1_169_Session3_d03_b04_26
0,9.538604736328125,vp1_171_Session3_d03_b04_28
1,9.538604736328125,vp1_171_Session3_d03_b04_28
2,9.538604736328125,vp1_171_Session3_d03_b04_28
0,-8.657745361328125,vp1_172_Session3_d03_b04_29
1,-8.657745361328125,vp1_172_Session3_d03_b04_29
2,-8.657745361328125,vp1_172_Session3_d03_b04_29
